Year,YearMonth,ProductID,Name,CategoryName,SubcategoryName,Revenue,UnitsSold,Orders
2020,2020-01,101,Portable Bags & Backpacks,Fashion & Apparel,Bags & Backpacks,540.0,30,8
2020,2020-01,102,Compact Accessories,Fashion & Apparel,Accessories,2808.0,26,6
2020,2020-01,103,Compact Bags & Backpacks,Fashion & Apparel,Bags & Backpacks,1953.48,12,4
2020,2020-01,104,Classic Dresses & Skirts,Fashion & Apparel,Dresses & Skirts,1835.76,24,4
2020,2020-01,105,Deluxe Bags & Backpacks,Fashion & Apparel,Bags & Backpacks,2618.82,18,7
2020,2020-01,106,Premium Dresses & Skirts,Fashion & Apparel,Dresses & Skirts,3473.64,36,11
2020,2020-01,107,Compact Outerwear,Fashion & Apparel,Outerwear,2412.0,18,6
2020,2020-01,108,Portable Activewear,Fashion & Apparel,Activewear,5886.42,58,11
2020,2020-01,109,Advanced Bags & Backpacks,Fashion & Apparel,Bags & Backpacks,3021.0,19,6
2020,2020-01,110,Ultra Activewear,Fashion & Apparel,Activewear,869.8,20,6
2020,2020-01,111,Ultra Formal Wear,Fashion & Apparel,Formal Wear,3332.19,31,6
2020,2020-01,112,Classic Bags & Backpacks,Fashion & Apparel,Bags & Backpacks,1037.88,12,4
2020,2020-01,113,Premium Formal Wear,Fashion & Apparel,Formal Wear,1961.0,37,8
2020,2020-01,114,Compact Outerwear,Fashion & Apparel,Outerwear,1800.0,24,8
2020,2020-01,115,Premium Accessories,Fashion & Apparel,Accessories,427.31,19,7
2020,2020-01,116,Classic Bags & Backpacks,Fashion & Apparel,Bags & Backpacks,1657.37,13,4
2020,2020-01,117,Compact Swimwear,Fashion & Apparel,Swimwear,3981.18,42,9
2020,2020-01,118,Compact Jeans & Trousers,Fashion & Apparel,Jeans & Trousers,4110.12,28,7
2020,2020-01,119,Eco Bags & Backpacks,Fashion & Apparel,Bags & Backpacks,2473.49,31,9
2020,2020-01,120,Advanced Activewear,Fashion & Apparel,Activewear,2379.6,40,9
2020,2020-01,121,Portable Dresses & Skirts,Fashion & Apparel,Dresses & Skirts,1623.86,14,4
2020,2020-01,122,Eco Accessories,Fashion & Apparel,Accessories,2562.25,25,6
2020,2020-01,123,Eco Activewear,Fashion & Apparel,Activewear,480.33,27,5
2020,2020-01,124,Compact Jeans & Trousers,Fashion & Apparel,Jeans & Trousers,5066.0,34,11
2020,2020-01,125,Ultra Jeans & Trousers,Fashion & Apparel,Jeans & Trousers,2821.66,34,10
2020,2020-01,126,Classic Jeans & Trousers,Fashion & Apparel,Jeans & Trousers,4732.0,28,6
2020,2020-01,127,Portable Bags & Backpacks,Fashion & Apparel,Bags & Backpacks,3403.63,37,11
2020,2020-01,128,Premium T-Shirts & Tops,Fashion & Apparel,T-Shirts & Tops,332.82,18,5
2020,2020-01,129,Ultra Accessories,Fashion & Apparel,Accessories,5334.81,39,9
2020,2020-01,130,Premium Outerwear,Fashion & Apparel,Outerwear,3113.64,36,12
2020,2020-01,131,Pro Jeans & Trousers,Fashion & Apparel,Jeans & Trousers,1405.63,37,7
2020,2020-01,132,Ultra Jeans & Trousers,Fashion & Apparel,Jeans & Trousers,1491.38,22,5
2020,2020-01,133,Eco Outerwear,Fashion & Apparel,Outerwear,1580.0,20,7
2020,2020-01,134,Portable Dresses & Skirts,Fashion & Apparel,Dresses & Skirts,4209.49,31,7
2020,2020-01,135,Pro Swimwear,Fashion & Apparel,Swimwear,2259.27,13,5
2020,2020-01,136,Advanced Swimwear,Fashion & Apparel,Swimwear,2250.0,15,6
2020,2020-01,137,Premium Bags & Backpacks,Fashion & Apparel,Bags & Backpacks,1002.83,17,7
2020,2020-01,138,Deluxe Outerwear,Fashion & Apparel,Outerwear,806.0,13,6
2020,2020-01,139,Portable Activewear,Fashion & Apparel,Activewear,1134.0,27,7
2020,2020-01,140,Eco T-Shirts & Tops,Fashion & Apparel,T-Shirts & Tops,3827.56,44,7
2020,2020-01,141,Advanced Sneakers & Casual Shoes,Fashion & Apparel,Sneakers & Casual Shoes,5940.0,33,9
2020,2020-01,142,Classic Formal Wear,Fashion & Apparel,Formal Wear,277.11,9,5
2020,2020-01,143,Eco Dresses & Skirts,Fashion & Apparel,Dresses & Skirts,1755.0,13,4
2020,2020-01,144,Deluxe Jeans & Trousers,Fashion & Apparel,Jeans & Trousers,4451.72,28,6
2020,2020-01,145,Eco Bags & Backpacks,Fashion & Apparel,Bags & Backpacks,2407.84,16,6
2020,2020-01,146,Ultra Outerwear,Fashion & Apparel,Outerwear,254.95,5,1
2020,2020-01,147,Classic Accessories,Fashion & Apparel,Accessories,572.22,18,3
2020,2020-01,148,Portable Outerwear,Fashion & Apparel,Outerwear,1543.29,21,6
2020,2020-01,149,Ultra Swimwear,Fashion & Apparel,Swimwear,3218.63,37,10
2020,2020-01,150,Compact Outerwear,Fashion & Apparel,Outerwear,5907.0,33,7
2020,2020-01,151,Pro Formal Wear,Fashion & Apparel,Formal Wear,1022.01,19,5
2020,2020-01,152,Pro Outerwear,Fashion & Apparel,Outerwear,3022.43,17,5
2020,2020-01,153,Compact Activewear,Fashion & Apparel,Activewear,2119.84,16,4
2020,2020-01,154,Classic Activewear,Fashion & Apparel,Activewear,2159.82,18,5
2020,2020-01,155,Ultra Outerwear,Fashion & Apparel,Outerwear,696.33,27,8
2020,2020-01,156,Pro Jeans & Trousers,Fashion & Apparel,Jeans & Trousers,2554.65,35,8
2020,2020-01,157,Classic Swimwear,Fashion & Apparel,Swimwear,9287.46,54,13
2020,2020-01,158,Advanced Activewear,Fashion & Apparel,Activewear,1968.78,22,5
2020,2020-01,159,Eco Swimwear,Fashion & Apparel,Swimwear,1568.0,14,5
2020,2020-01,160,Compact Sneakers & Casual Shoes,Fashion & Apparel,Sneakers & Casual Shoes,1819.74,26,8
2020,2020-01,161,Deluxe Outerwear,Fashion & Apparel,Outerwear,1710.0,30,9
2020,2020-01,162,Ultra Formal Wear,Fashion & Apparel,Formal Wear,899.4,60,12
2020,2020-01,163,Classic Dresses & Skirts,Fashion & Apparel,Dresses & Skirts,349.8,20,6
2020,2020-01,164,Ultra Bags & Backpacks,Fashion & Apparel,Bags & Backpacks,1508.22,18,6
2020,2020-01,165,Portable Dresses & Skirts,Fashion & Apparel,Dresses & Skirts,4312.62,38,9
2020,2020-01,166,Compact Activewear,Fashion & Apparel,Activewear,6269.67,33,8
2020,2020-01,167,Ultra Outerwear,Fashion & Apparel,Outerwear,303.81,19,4
2020,2020-01,168,Classic Dresses & Skirts,Fashion & Apparel,Dresses & Skirts,2044.0,28,8
2020,2020-01,169,Portable Outerwear,Fashion & Apparel,Outerwear,665.28,32,10
2020,2020-01,170,Deluxe Dresses & Skirts,Fashion & Apparel,Dresses & Skirts,2239.68,32,7
2020,2020-01,171,Portable Bags & Backpacks,Fashion & Apparel,Bags & Backpacks,2393.79,21,7
2020,2020-01,172,Compact Dresses & Skirts,Fashion & Apparel,Dresses & Skirts,3423.33,27,6
2020,2020-01,173,Advanced Dresses & Skirts,Fashion & Apparel,Dresses & Skirts,1466.91,9,4
2020,2020-01,174,Ultra T-Shirts & Tops,Fashion & Apparel,T-Shirts & Tops,756.0,28,7
2020,2020-01,175,Ultra Outerwear,Fashion & Apparel,Outerwear,5150.0,50,13
2020,2020-01,176,Pro Outerwear,Fashion & Apparel,Outerwear,4218.0,37,10
2020,2020-01,177,Compact Jeans & Trousers,Fashion & Apparel,Jeans & Trousers,2925.0,15,4
2020,2020-01,178,Premium Bags & Backpacks,Fashion & Apparel,Bags & Backpacks,2404.29,21,6
2020,2020-01,179,Eco Outerwear,Fashion & Apparel,Outerwear,636.86,14,3
2020,2020-01,180,Eco Dresses & Skirts,Fashion & Apparel,Dresses & Skirts,3185.38,22,6
2020,2020-01,181,Compact Jeans & Trousers,Fashion & Apparel,Jeans & Trousers,840.0,14,5
2020,2020-01,182,Ultra Outerwear,Fashion & Apparel,Outerwear,767.76,24,7
2020,2020-01,183,Eco Accessories,Fashion & Apparel,Accessories,4977.62,38,12
2020,2020-01,184,Deluxe Outerwear,Fashion & Apparel,Outerwear,6407.64,36,11
2020,2020-01,185,Deluxe Jeans & Trousers,Fashion & Apparel,Jeans & Trousers,4432.74,26,5
2020,2020-01,186,Advanced Dresses & Skirts,Fashion & Apparel,Dresses & Skirts,1820.91,29,5
2020,2020-01,187,Advanced Swimwear,Fashion & Apparel,Swimwear,2764.86,14,5
2020,2020-01,188,Classic Jeans & Trousers,Fashion & Apparel,Jeans & Trousers,3958.29,21,6
2020,2020-01,189,Premium Accessories,Fashion & Apparel,Accessories,1228.64,16,5
2020,2020-01,190,Eco T-Shirts & Tops,Fashion & Apparel,T-Shirts & Tops,4094.79,21,6
2020,2020-01,191,Eco Formal Wear,Fashion & Apparel,Formal Wear,3527.82,18,4
2020,2020-01,192,Compact Accessories,Fashion & Apparel,Accessories,3875.0,31,11
2020,2020-01,193,Deluxe Accessories,Fashion & Apparel,Accessories,4045.66,34,9
2020,2020-01,194,Eco Jeans & Trousers,Fashion & Apparel,Jeans & Trousers,2621.81,19,8
2020,2020-01,195,Classic Dresses & Skirts,Fashion & Apparel,Dresses & Skirts,2242.11,39,8
2020,2020-01,196,Premium Formal Wear,Fashion & Apparel,Formal Wear,3167.78,22,7
2020,2020-01,197,Pro Dresses & Skirts,Fashion & Apparel,Dresses & Skirts,159.98,2,1
2020,2020-01,198,Compact Sneakers & Casual Shoes,Fashion & Apparel,Sneakers & Casual Shoes,310.27,23,5
2020,2020-01,199,Deluxe Swimwear,Fashion & Apparel,Swimwear,4277.0,47,8
2020,2020-01,200,Deluxe Formal Wear,Fashion & Apparel,Formal Wear,867.0,51,14
2020,2020-01,201,Eco T-Shirts & Tops,Fashion & Apparel,T-Shirts & Tops,3632.79,21,5
2020,2020-01,202,Deluxe Formal Wear,Fashion & Apparel,Formal Wear,2047.37,13,5
2020,2020-01,203,Classic Bags & Backpacks,Fashion & Apparel,Bags & Backpacks,1835.8,20,5
2020,2020-01,204,Portable Sneakers & Casual Shoes,Fashion & Apparel,Sneakers & Casual Shoes,888.69,11,3
2020,2020-01,205,Ultra Outerwear,Fashion & Apparel,Outerwear,640.0,20,4
2020,2020-01,206,Pro Formal Wear,Fashion & Apparel,Formal Wear,2784.0,16,6
2020,2020-01,207,Ultra Sneakers & Casual Shoes,Fashion & Apparel,Sneakers & Casual Shoes,1663.74,26,6
2020,2020-01,208,Advanced Activewear,Fashion & Apparel,Activewear,882.0,18,5
2020,2020-01,209,Portable Swimwear,Fashion & Apparel,Swimwear,1836.0,17,5
2020,2020-01,210,Portable Activewear,Fashion & Apparel,Activewear,3002.78,22,5
2020,2020-01,211,Compact Bags & Backpacks,Fashion & Apparel,Bags & Backpacks,2066.85,15,7
2020,2020-01,212,Eco Outerwear,Fashion & Apparel,Outerwear,875.38,22,7
2020,2020-01,213,Deluxe Formal Wear,Fashion & Apparel,Formal Wear,5994.0,37,8
2020,2020-01,214,Ultra Sneakers & Casual Shoes,Fashion & Apparel,Sneakers & Casual Shoes,2058.0,21,6
2020,2020-01,215,Eco Swimwear,Fashion & Apparel,Swimwear,4952.74,26,7
2020,2020-01,216,Premium Dresses & Skirts,Fashion & Apparel,Dresses & Skirts,851.92,8,2
2020,2020-01,217,Premium Swimwear,Fashion & Apparel,Swimwear,2053.43,17,6
2020,2020-01,218,Compact Jeans & Trousers,Fashion & Apparel,Jeans & Trousers,1319.75,25,7
2020,2020-01,219,Pro Swimwear,Fashion & Apparel,Swimwear,1889.79,21,5
2020,2020-01,220,Eco Formal Wear,Fashion & Apparel,Formal Wear,423.43,7,3
2020,2020-01,221,Advanced Accessories,Fashion & Apparel,Accessories,1221.87,13,3
2020,2020-01,222,Classic Bags & Backpacks,Fashion & Apparel,Bags & Backpacks,1598.0,17,6
2020,2020-01,223,Advanced Swimwear,Fashion & Apparel,Swimwear,151.06,14,5
2020,2020-01,224,Compact Outerwear,Fashion & Apparel,Outerwear,3353.7,30,6
2020,2020-01,225,Eco Outerwear,Fashion & Apparel,Outerwear,2906.81,19,6
2020,2020-01,226,Deluxe Jeans & Trousers,Fashion & Apparel,Jeans & Trousers,1055.88,12,3
2020,2020-01,227,Compact Bags & Backpacks,Fashion & Apparel,Bags & Backpacks,3926.78,22,9
2020,2020-01,228,Eco T-Shirts & Tops,Fashion & Apparel,T-Shirts & Tops,4218.0,37,10
2020,2020-01,229,Premium Accessories,Fashion & Apparel,Accessories,1657.28,32,8
2020,2020-01,230,Premium Outerwear,Fashion & Apparel,Outerwear,3586.66,34,8
2020,2020-01,231,Advanced Jeans & Trousers,Fashion & Apparel,Jeans & Trousers,1870.12,28,9
2020,2020-01,232,Pro Outerwear,Fashion & Apparel,Outerwear,425.88,12,3
2020,2020-01,233,Ultra Outerwear,Fashion & Apparel,Outerwear,1575.0,21,5
2020,2020-01,234,Premium Sneakers & Casual Shoes,Fashion & Apparel,Sneakers & Casual Shoes,2371.01,19,6
2020,2020-01,235,Portable Swimwear,Fashion & Apparel,Swimwear,4463.7,30,6
2020,2020-01,236,Deluxe Sneakers & Casual Shoes,Fashion & Apparel,Sneakers & Casual Shoes,643.77,23,8
2020,2020-01,237,Eco Accessories,Fashion & Apparel,Accessories,1417.0,13,4
2020,2020-01,238,Premium Accessories,Fashion & Apparel,Accessories,5449.49,31,9
2020,2020-01,239,Portable Bags & Backpacks,Fashion & Apparel,Bags & Backpacks,3675.17,23,6
2020,2020-01,240,Premium Jeans & Trousers,Fashion & Apparel,Jeans & Trousers,2261.85,15,6
2020,2020-01,241,Classic Activewear,Fashion & Apparel,Activewear,2808.0,26,7
2020,2020-01,242,Portable Activewear,Fashion & Apparel,Activewear,5116.23,27,7
2020,2020-01,243,Compact Formal Wear,Fashion & Apparel,Formal Wear,6236.58,42,10
2020,2020-01,244,Ultra Bags & Backpacks,Fashion & Apparel,Bags & Backpacks,267.96,4,1
2020,2020-01,245,Portable Bags & Backpacks,Fashion & Apparel,Bags & Backpacks,4080.78,22,7
2020,2020-01,246,Deluxe Activewear,Fashion & Apparel,Activewear,140.0,14,3
2020,2020-01,247,Pro Bags & Backpacks,Fashion & Apparel,Bags & Backpacks,114.9,10,4
2020,2020-01,248,Ultra Dresses & Skirts,Fashion & Apparel,Dresses & Skirts,3339.0,21,6
2020,2020-01,249,Compact Swimwear,Fashion & Apparel,Swimwear,3976.17,33,8
2020,2020-01,250,Advanced Bags & Backpacks,Fashion & Apparel,Bags & Backpacks,442.35,15,6
2020,2020-01,251,Compact Swimwear,Fashion & Apparel,Swimwear,3431.67,33,7
2020,2020-01,252,Deluxe Sneakers & Casual Shoes,Fashion & Apparel,Sneakers & Casual Shoes,4070.54,46,13
2020,2020-01,253,Pro Formal Wear,Fashion & Apparel,Formal Wear,1470.0,21,6
2020,2020-01,254,Premium Jeans & Trousers,Fashion & Apparel,Jeans & Trousers,251.76,24,9
2020,2020-01,255,Advanced Swimwear,Fashion & Apparel,Swimwear,436.54,26,7
2020,2020-01,256,Classic Dresses & Skirts,Fashion & Apparel,Dresses & Skirts,3520.0,22,5
2020,2020-01,257,Premium Bags & Backpacks,Fashion & Apparel,Bags & Backpacks,2987.38,22,6
2020,2020-01,258,Portable T-Shirts & Tops,Fashion & Apparel,T-Shirts & Tops,3756.66,34,8
2020,2020-01,259,Compact Outerwear,Fashion & Apparel,Outerwear,1362.25,25,4
2020,2020-01,260,Deluxe T-Shirts & Tops,Fashion & Apparel,T-Shirts & Tops,1139.85,15,5
2020,2020-01,261,Advanced Bags & Backpacks,Fashion & Apparel,Bags & Backpacks,2063.38,22,7
2020,2020-01,262,Premium Sneakers & Casual Shoes,Fashion & Apparel,Sneakers & Casual Shoes,2366.0,26,8
2020,2020-01,263,Portable T-Shirts & Tops,Fashion & Apparel,T-Shirts & Tops,3317.38,22,6
2020,2020-01,264,Classic Dresses & Skirts,Fashion & Apparel,Dresses & Skirts,1470.33,17,6
2020,2020-01,265,Pro Swimwear,Fashion & Apparel,Swimwear,4639.68,32,5
2020,2020-01,266,Pro Accessories,Fashion & Apparel,Accessories,2035.0,11,4
2020,2020-01,267,Classic Formal Wear,Fashion & Apparel,Formal Wear,1455.87,13,3
2020,2020-01,268,Classic Swimwear,Fashion & Apparel,Swimwear,4569.75,25,8
2020,2020-01,269,Compact Jeans & Trousers,Fashion & Apparel,Jeans & Trousers,3734.91,29,9
2020,2020-01,270,Portable Accessories,Fashion & Apparel,Accessories,2479.8,20,4
2020,2020-01,271,Eco Sneakers & Casual Shoes,Fashion & Apparel,Sneakers & Casual Shoes,2990.12,28,5
2020,2020-01,272,Pro Activewear,Fashion & Apparel,Activewear,2006.82,18,6
2020,2020-01,273,Ultra Activewear,Fashion & Apparel,Activewear,3486.31,19,4
2020,2020-01,274,Compact T-Shirts & Tops,Fashion & Apparel,T-Shirts & Tops,2507.0,23,8
2020,2020-01,275,Portable Sneakers & Casual Shoes,Fashion & Apparel,Sneakers & Casual Shoes,4859.64,36,7
2020,2020-01,276,Ultra Formal Wear,Fashion & Apparel,Formal Wear,1585.29,21,6
2020,2020-01,277,Deluxe T-Shirts & Tops,Fashion & Apparel,T-Shirts & Tops,1184.0,16,6
2020,2020-01,278,Compact T-Shirts & Tops,Fashion & Apparel,T-Shirts & Tops,153.27,13,5
2020,2020-01,279,Portable Swimwear,Fashion & Apparel,Swimwear,3924.0,36,9
2020,2020-01,280,Compact Formal Wear,Fashion & Apparel,Formal Wear,4048.0,23,7
2020,2020-01,281,Premium Sneakers & Casual Shoes,Fashion & Apparel,Sneakers & Casual Shoes,2933.64,36,9
2020,2020-01,282,Ultra Dresses & Skirts,Fashion & Apparel,Dresses & Skirts,5889.69,31,8
2020,2020-01,283,Advanced T-Shirts & Tops,Fashion & Apparel,T-Shirts & Tops,4752.86,34,10
2020,2020-01,284,Advanced Swimwear,Fashion & Apparel,Swimwear,895.41,9,4
2020,2020-01,285,Ultra Formal Wear,Fashion & Apparel,Formal Wear,851.07,33,8
2020,2020-01,286,Eco Sneakers & Casual Shoes,Fashion & Apparel,Sneakers & Casual Shoes,972.64,16,5
2020,2020-01,287,Premium Formal Wear,Fashion & Apparel,Formal Wear,482.79,21,8
